               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10145,            0.020098,            0.086568,           0.0023773,             0.61107,            0.007987,            0.002307,            0.059807,            0.010846,            0.071748,              0.0793,              0.0023,              0.0023
                   1,            0.060489,            0.020555,            0.080382,            0.088213,             0.32585,            0.042024,            0.011506,            0.048646,           0.0086184,            0.066779,            0.057691,           0.0046907,           0.0046907
                   2,            0.048839,            0.016604,            0.077251,             0.08987,             0.42947,            0.054667,             0.02128,            0.051164,            0.010717,            0.066363,            0.036072,           0.0070719,           0.0070719
                   3,            0.045417,            0.014665,            0.075171,             0.47118,              0.1719,             0.16443,            0.066638,            0.057295,           0.0054953,            0.058515,            0.014444,           0.0094436,           0.0094436
                   4,            0.042337,            0.013698,            0.073765,             0.32009,             0.22325,             0.14498,            0.064263,            0.032661,           0.0054719,            0.061612,           0.0099208,           0.0099208,           0.0099208
                   5,            0.038727,            0.012526,            0.072004,             0.51876,             0.10731,            0.082633,            0.042578,            0.039994,           0.0090745,            0.064211,           0.0099208,           0.0099208,           0.0099208
                   6,            0.038087,            0.012258,            0.069644,             0.47237,             0.28779,             0.20854,             0.12803,            0.033192,           0.0059323,            0.048118,            0.009901,            0.009901,            0.009901
                   7,            0.036599,            0.012123,            0.067142,             0.39527,             0.41239,             0.24009,             0.15924,            0.028835,             0.00481,            0.045422,           0.0098812,           0.0098812,           0.0098812
                   8,             0.03667,            0.011754,            0.063451,             0.40142,             0.44309,              0.2885,             0.18977,            0.023657,           0.0047871,            0.044529,           0.0098614,           0.0098614,           0.0098614
                   9,            0.034464,             0.01138,            0.062646,             0.42518,              0.4393,             0.27414,             0.18274,             0.03251,           0.0043756,            0.043188,           0.0098416,           0.0098416,           0.0098416
                  10,            0.033154,            0.011218,            0.058602,             0.35026,              0.5268,             0.31146,             0.21724,            0.025875,           0.0044389,             0.04193,           0.0098218,           0.0098218,           0.0098218
                  11,            0.033425,            0.010835,            0.059071,             0.39572,             0.46906,             0.35748,             0.24011,            0.025926,           0.0048592,            0.040672,            0.009802,            0.009802,            0.009802
                  12,            0.032841,            0.010779,            0.058402,             0.63604,             0.37335,             0.37196,             0.24471,            0.025173,           0.0044203,             0.04459,           0.0097822,           0.0097822,           0.0097822
                  13,            0.032148,            0.011031,            0.056359,              0.4804,              0.5572,             0.43641,             0.28578,            0.027675,           0.0049242,            0.041959,           0.0097624,           0.0097624,           0.0097624
                  14,            0.030707,            0.010769,            0.052605,             0.49181,             0.50607,             0.38367,             0.24275,            0.027647,           0.0050385,            0.036788,           0.0097426,           0.0097426,           0.0097426
                  15,            0.032062,            0.010534,            0.054318,             0.50735,             0.48321,              0.4598,             0.33712,            0.027369,           0.0047284,            0.038494,           0.0097228,           0.0097228,           0.0097228
                  16,            0.031439,            0.010744,            0.051588,             0.56576,             0.47084,             0.45232,             0.31841,            0.028618,           0.0049682,            0.053881,            0.009703,            0.009703,            0.009703
                  17,            0.031209,            0.010497,            0.049038,             0.47273,             0.43489,             0.50701,             0.34289,            0.031803,           0.0048049,            0.037449,           0.0096832,           0.0096832,           0.0096832
                  18,            0.031009,            0.010553,            0.048366,             0.50581,             0.61374,             0.54965,             0.36653,            0.031541,           0.0045381,            0.038082,           0.0096634,           0.0096634,           0.0096634
